Code;Libellé;companies2016;Nb ent. dans l'industrie 2016;newcompanies2016
01001;L'Abergement-Clémenciat;28;2;3
01002;L'Abergement-de-Varey;10;3;1
01004;Ambérieu-en-Bugey;865;39;103
01005;Ambérieux-en-Dombes;97;6;10
01006;Ambléon;3;0;0
01007;Ambronay;125;14;18
01008;Ambutrix;42;0;8
01009;Andert-et-Condon;25;3;2
01010;Anglefort;34;3;9
01011;Apremont;16;0;1
01012;Aranc;15;5;4
01013;Arandas;9;0;0
01014;Arbent;260;61;29
01015;Arboys en Bugey;30;5;2
01016;Arbigny;11;2;2
01017;Argis;19;3;4
01019;Armix;1;1;0
01021;Ars-sur-Formans;71;5;11
01022;Artemare;96;11;9
01023;Asnières-sur-Saône;2;0;0
01024;Attignat;110;13;12
01025;Bâgé-la-Ville;92;10;10
01026;Bâgé-le-Châtel;52;5;7
01027;Balan;114;12;14
01028;Baneins;22;1;3
01029;Beaupont;22;4;2
01030;Beauregard;48;1;6
01031;Bellignat;224;62;19
01032;Béligneux;180;23;21
01033;Bellegarde-sur-Valserine;533;37;73
01034;Belley;598;52;51
01035;Belleydoux;15;4;5
01036;Belmont-Luthézieu;34;3;7
01037;Bénonces;11;1;1
01038;Bény;33;6;6
01039;Béon;22;3;7
01040;Béréziat;13;1;2
01041;Bettant;20;0;1
01042;Bey;11;0;1
01043;Beynost;409;23;40
01044;Billiat;30;3;3
01045;Birieux;16;2;1
01046;Biziat;35;2;4
01047;Blyes;81;24;5
01049;La Boisse;194;16;25
01050;Boissey;8;0;1
01051;Bolozon;7;1;0
01052;Bouligneux;17;0;1
01053;Bourg-en-Bresse;2648;123;335
01054;Bourg-Saint-Christophe;57;0;7
01056;Boyeux-Saint-Jérôme;17;3;1
01057;Boz;30;3;3
01058;Brégnier-Cordon;46;7;8
01059;Brénaz;5;0;0
01060;Brénod;22;3;5
01061;Brens;39;3;7
01062;Bressolles;55;9;4
01063;Brion;33;7;3
01064;Briord;45;7;9
01065;Buellas;80;3;9
01066;La Burbanche;4;1;3
01067;Ceignes;15;1;4
01068;Cerdon;47;2;1
01069;Certines;60;8;15
01071;Cessy;190;10;34
01072;Ceyzériat;198;24;23
01073;Ceyzérieu;52;4;9
01074;Chalamont;158;15;18
01075;Chaleins;86;12;15
01076;Chaley;1;0;1
01077;Challes-la-Montagne;14;2;1
01078;Challex;41;3;10
01079;Champagne-en-Valromey;59;4;4
01080;Champdor-Corcelles;15;2;6
01081;Champfromier;40;4;3
01082;Chanay;10;0;4
01083;Chaneins;53;9;7
01084;Chanoz-Châtenay;41;6;8
01085;La Chapelle-du-Châtelard;17;1;1
01087;Charix;11;2;0
01088;Charnoz-sur-Ain;59;1;8
01089;Château-Gaillard;118;15;14
01090;Châtenay;20;1;3
01091;Châtillon-en-Michaille;179;16;29
01092;Châtillon-la-Palud;66;5;4
01093;Châtillon-sur-Chalaronne;368;37;40
01094;Chavannes-sur-Reyssouze;27;2;4
01095;Nivigne et Suran;40;4;6
01096;Chaveyriat;51;7;7
01097;Chavornay;9;0;0
01098;Chazey-Bons;75;12;10
01099;Chazey-sur-Ain;92;3;7
01100;Cheignieu-la-Balme;7;0;0
01101;Chevillard;2;1;0
01102;Chevroux;36;6;5
01103;Chevry;31;2;6
01104;Chézery-Forens;23;3;0
01105;Civrieux;114;10;13
01106;Cize;2;0;2
01107;Cleyzieu;7;1;0
01108;Coligny;72;10;10
01109;Collonges;93;3;13
01110;Colomieu;5;1;1
01111;Conand;2;1;1
01112;Condamine;18;2;2
01113;Condeissiat;39;2;3
01114;Confort;26;1;4
01115;Confrançon;62;9;6
01116;Contrevoz;18;3;4
01117;Conzieu;9;3;1
01118;Corbonod;47;9;12
01121;Corlier;6;2;3
01122;Cormaranche-en-Bugey;33;5;1
01123;Cormoranche-sur-Saône;43;2;7
01124;Cormoz;24;5;5
01125;Corveissiat;20;5;2
01127;Courmangoux;26;4;2
01128;Courtes;11;0;1
01129;Crans;10;1;2
01130;Cras-sur-Reyssouze;55;9;1
01133;Cressin-Rochefort;13;1;3
01134;Crottet;96;9;12
01135;Crozet;107;4;12
01136;Cruzilles-lès-Mépillat;20;1;4
01138;Culoz;158;16;19
01139;Curciat-Dongalon;22;3;7
01140;Curtafond;24;5;4
01141;Cuzieu;14;0;3
01142;Dagneux;274;31;33
01143;Divonne-les-Bains;515;13;75
01144;Dommartin;21;1;2
01145;Dompierre-sur-Veyle;55;1;12
01146;Dompierre-sur-Chalaronne;22;2;3
01147;Domsure;18;3;6
01148;Dortan;100;25;13
01149;Douvres;34;1;6
01150;Drom;8;2;1
01151;Druillat;59;4;10
01152;Échallon;32;5;3
01153;Échenevex;56;1;8
01154;Étrez;30;2;5
01155;Évosges;7;1;0
01156;Faramans;25;2;5
01157;Fareins;182;20;32
01158;Farges;28;2;4
01159;Feillens;212;19;18
01160;Ferney-Voltaire;611;17;88
01162;Flaxieu;6;1;0
01163;Foissiat;88;13;12
01165;Francheleins;62;4;14
01166;Frans;120;12;18
01167;Garnerans;31;3;3
01169;Genouilleux;19;1;3
01170;Béard-Géovreissiat;43;7;7
01171;Géovreisset;41;9;3
01173;Gex;483;19;86
01174;Giron;13;1;2
01175;Gorrevod;32;5;4
01177;Grand-Corent;3;0;0
01179;Grièges;86;3;7
01180;Grilly;36;2;7
01181;Groissiat;80;29;11
01183;Guéreins;121;21;14
01184;Hautecourt-Romanèche;37;4;5
01185;Hauteville-Lompnes;203;8;17
01186;Hostiaz;3;0;0
01187;Haut Valromey;55;8;7
01188;Illiat;36;1;3
01189;Injoux-Génissiat;29;1;4
01190;Innimond;5;0;0
01191;Izenave;10;2;2
01192;Izernore;151;36;13
01193;Izieu;3;1;0
01194;Jassans-Riottier;342;32;45
01195;Jasseron;76;10;9
01196;Jayat;68;5;8
01197;Journans;15;2;4
01198;Joyeux;12;2;0
01199;Jujurieux;104;13;8
01200;Labalme;13;0;0
01202;Lagnieu;367;20;50
01203;Laiz;57;5;6
01204;Le Poizat-Lalleyriat;38;5;6
01205;Lancrans;37;6;8
01206;Lantenay;5;0;3
01207;Lapeyrouse;21;1;2
01208;Lavours;7;1;3
01209;Léaz;18;0;3
01210;Lélex;54;3;6
01211;Lent;45;3;8
01212;Lescheroux;37;6;5
01213;Leyment;55;6;7
01214;Leyssard;8;0;2
01215;Lhôpital;1;0;0
01216;Lhuis;52;8;7
01218;Lochieu;11;0;1
01219;Lompnas;9;0;0
01221;Lompnieu;8;1;3
01224;Loyettes;155;13;26
01225;Lurcy;10;1;1
01227;Magnieu;21;3;3
01228;Maillat;55;11;5
01229;Malafretaz;53;4;3
01230;Mantenay-Montlin;11;2;5
01231;Manziat;85;8;6
01232;Marboz;120;16;7
01233;Marchamp;7;1;1
01234;Marignieu;9;2;0
01235;Marlieux;53;7;8
01236;Marsonnas;29;2;5
01237;Martignat;95;29;9
01238;Massieux;153;9;16
01239;Massignieu-de-Rives;37;0;6
01240;Matafelon-Granges;33;3;4
01241;Meillonnas;73;7;13
01242;Mérignat;6;1;0
01243;Messimy-sur-Saône;95;10;12
01244;Meximieux;478;29;44
01245;Bohas-Meyriat-Rignat;48;10;4
01246;Mézériat;130;10;16
01247;Mijoux;47;2;6
01248;Mionnay;139;9;13
01249;Miribel;666;78;72
01250;Misérieux;75;5;11
01252;Mogneneins;31;3;7
01254;Montagnat;133;11;20
01255;Montagnieu;23;2;4
01257;Montanges;13;3;1
01258;Montceaux;47;3;16
01259;Montcet;28;2;5
01260;Le Montellier;13;0;2
01261;Monthieux;42;2;3
01262;Montluel;391;27;41
01263;Montmerle-sur-Saône;208;22;24
01264;Montracol;37;1;2
01265;Montréal-la-Cluse;213;28;25
01266;Montrevel-en-Bresse;169;20;10
01267;Nurieux-Volognat;46;10;8
01268;Murs-et-Gélignieux;23;3;1
01269;Nantua;206;20;17
01272;Neuville-les-Dames;100;7;9
01273;Neuville-sur-Ain;80;13;8
01274;Les Neyrolles;19;3;6
01275;Neyron;245;19;35
01276;Niévroz;103;16;12
01277;Nivollet-Montgriffon;4;0;0
01279;Oncieu;4;1;2
01280;Ordonnaz;13;1;3
01281;Ornex;138;6;22
01282;Outriaz;9;1;1
01283;Oyonnax;1408;222;136
01284;Ozan;41;7;6
01285;Parcieux;53;4;15
01286;Parves et Nattages;36;6;2
01288;Péron;90;2;11
01289;Péronnas;390;28;31
01290;Pérouges;106;12;4
01291;Perrex;30;2;4
01293;Peyriat;9;2;2
01294;Peyrieu;34;3;3
01295;Peyzieux-sur-Saône;24;2;4
01296;Pirajoux;13;1;1
01297;Pizay;31;0;4
01298;Plagne;9;0;0
01299;Le Plantay;28;2;2
01301;Polliat;128;12;11
01302;Pollieu;9;0;1
01303;Poncin;99;8;10
01304;Pont-d'Ain;183;15;26
01305;Pont-de-Vaux;212;22;11
01306;Pont-de-Veyle;82;9;7
01307;Port;56;13;6
01308;Pougny;17;3;2
01309;Pouillat;1;0;1
01310;Prémeyzel;7;1;2
01311;Prémillieu;4;0;1
01313;Prévessin-Moëns;217;7;45
01314;Priay;99;9;12
01317;Ramasse;10;0;4
01318;Rancé;37;1;3
01319;Relevant;30;0;2
01320;Replonges;187;15;14
01321;Revonnas;33;0;7
01322;Reyrieux;315;30;56
01323;Reyssouze;48;5;7
01325;Rignieux-le-Franc;37;6;5
01328;Romans;24;2;1
01329;Rossillon;7;1;1
01330;Ruffieu;18;1;2
01331;Saint-Alban;9;1;3
01332;Saint-André-de-Bâgé;28;4;2
01333;Saint-André-de-Corcy;250;26;31
01334;Saint-André-d'Huiriat;29;3;0
01335;Saint-André-le-Bouchoux;14;0;4
01336;Saint-André-sur-Vieux-Jonc;36;5;6
01337;Saint-Bénigne;47;5;4
01338;Groslée-Saint-Benoit;72;14;7
01339;Saint-Bernard;72;5;8
01341;Saint-Champ;2;0;1
01342;Sainte-Croix;25;2;4
01343;Saint-Cyr-sur-Menthon;122;10;12
01344;Saint-Denis-lès-Bourg;278;12;42
01345;Saint-Denis-en-Bugey;97;6;15
01346;Saint-Didier-d'Aussiat;33;2;5
01347;Saint-Didier-de-Formans;108;4;10
01348;Saint-Didier-sur-Chalaronne;173;20;22
01349;Saint-Éloi;26;1;1
01350;Saint-Étienne-du-Bois;118;11;16
01351;Saint-Étienne-sur-Chalaronne;69;6;10
01352;Saint-Étienne-sur-Reyssouze;17;5;1
01353;Sainte-Euphémie;82;8;10
01354;Saint-Genis-Pouilly;529;29;76
01355;Saint-Genis-sur-Menthon;22;4;1
01356;Saint-Georges-sur-Renon;7;0;2
01357;Saint-Germain-de-Joux;14;2;1
01358;Saint-Germain-les-Paroisses;11;2;2
01359;Saint-Germain-sur-Renon;9;1;2
01360;Saint-Jean-de-Gonville;64;4;11
01361;Saint-Jean-de-Niost;87;4;14
01362;Saint-Jean-de-Thurigneux;43;4;8
01363;Saint-Jean-le-Vieux;82;7;6
01364;Saint-Jean-sur-Reyssouze;32;5;6
01365;Saint-Jean-sur-Veyle;46;3;4
01366;Sainte-Julie;30;2;7
01367;Saint-Julien-sur-Reyssouze;35;5;4
01368;Saint-Julien-sur-Veyle;36;1;7
01369;Saint-Just;54;4;5
01370;Saint-Laurent-sur-Saône;111;6;12
01371;Saint-Marcel;44;3;11
01372;Saint-Martin-de-Bavel;23;2;1
01373;Saint-Martin-du-Frêne;87;14;6
01374;Saint-Martin-du-Mont;92;9;10
01375;Saint-Martin-le-Châtel;30;8;4
01376;Saint-Maurice-de-Beynost;221;22;38
01378;Saint-Maurice-de-Gourdans;125;9;26
01379;Saint-Maurice-de-Rémens;22;2;3
01380;Saint-Nizier-le-Bouchoux;30;6;4
01381;Saint-Nizier-le-Désert;37;2;9
01382;Sainte-Olive;21;5;2
01383;Saint-Paul-de-Varax;67;6;11
01384;Saint-Rambert-en-Bugey;134;19;16
01385;Saint-Rémy;42;5;5
01386;Saint-Sorlin-en-Bugey;53;4;7
01387;Saint-Sulpice;7;1;1
01388;Saint-Trivier-de-Courtes;71;15;5
01389;Saint-Trivier-sur-Moignans;124;8;20
01390;Saint-Vulbas;122;9;10
01391;Salavre;14;2;2
01392;Samognat;24;3;2
01393;Sandrans;32;0;1
01396;Sault-Brénaz;43;4;5
01397;Sauverny;26;3;3
01398;Savigneux;81;9;15
01399;Ségny;74;4;12
01400;Seillonnaz;7;1;0
01401;Sergy;45;2;4
01402;Sermoyer;20;1;2
01403;Serrières-de-Briord;61;4;6
01404;Serrières-sur-Ain;7;0;3
01405;Servas;58;10;2
01406;Servignat;4;1;1
01407;Seyssel;55;2;12
01408;Simandre-sur-Suran;32;11;1
